file,variable,description,units,source,frequency,notes
pm_fixed,retail_trade_com1_plus_personal_repair_com3,Retail trade plus personal repair,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,retail_trade_com1,Retail trade area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_housing,Rural housing units,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_land_area,Rural land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_population,Rural population count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_primary_road_miles,Rural primary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_secondary_road_miles,Rural secondary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,shipping_lanes,Shipping lane area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,single_family_residential,Single family residential area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,spud_count,Well spud count (new wells drilled),area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,strip_mines_quarries,Strip mine and quarry area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,suburban_housing,Suburban housing units,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,total_agriculture_without_orchards_vineyards,Total agriculture minus orchards/vineyards,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,total_agriculture,Total agricultural land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,total_railroad_miles,Total railroad miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,total_road_miles,Total road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,transit_bus_terminals,Transit bus terminal count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_housing,Urban housing units,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_population,Urban population count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_primary_plus_rural_primary,Urban plus rural primary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_primary_road_miles,Urban primary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_secondary_road_miles,Urban secondary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,wastewater_treatment_facilities,Wastewater treatment facility count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,well_count_all_wells,Total well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,well_count_cbm_wells,Coalbed methane well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,well_count_gas_wells,Gas well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,well_count_oil_wells,Oil well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,epa.sum,Sum of EPA emission surrogates,composite,EPA SMOKE surrogates,static,Aggregated emission indicator
pm_fixed,airport_areas_var2,Airport area within buffer (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,airport_points_var2,Airport point count within buffer (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,class_1_railroad_miles_var2,Class 1 railroad miles within buffer (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,class_2_and_3_railroad_miles_var2,Class 2 and 3 railroad miles within buffer (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_land_var2,Commercial land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_plus_industrial_plus_institutional_var2,Commercial/industrial/institutional land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_plus_industrial_var2,Commercial plus industrial land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_plus_institutional_land_var2,Commercial plus institutional land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_plus_residential_var2,Commercial plus residential land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_timber_var2,Commercial timber area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,county_area_var2,County area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,crop_land_var2,Agricultural crop land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,drycleaners_var2,Dry cleaner locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,education_var2,Educational facility count/area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,ertac_rail_yards_var2,ERTAC rail yard locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,extended_idle_locations_var2,Extended idle truck locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,exurban_housing_var2,Exurban housing units (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,food._drug._chemical_industrial_ind3_var2,Food/drug/chemical industrial area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,forest_land_var2,Forest land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gas_production_at_all_wells_var2,Natural gas production at all wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gas_production_at_cbm_wells_var2,Gas production at coalbed methane wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gas_production_at_gas_wells_var2,Gas production at gas wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gas_stations_var2,Gas station count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,golf_courses_var2,Golf course area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,great_lakes_tug_zone_area_var2,Great Lakes tug zone area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gulf_shipping_lanes_var2,Gulf shipping lane area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,heavy_and_high_tech_industrial_ind1.ind5_var2,Heavy and high-tech industrial area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,heavy_industrial_ind1_var2,Heavy industrial area (r=0.345 with PM2.5) (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,high_intensity_residential_var2,High intensity residential area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,hospital_com6_var2,Hospital count/area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,housing_change_var2,Housing unit change (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,housing_var2,Housing unit count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,industrial_land_var2,Industrial land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,industrial_plus_institutional_plus_hospitals_var2,Industrial/institutional/hospital area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,intercity_bus_terminals_var2,Intercity bus terminal count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,light_and_high_tech_industrial_ind2.ind5_var2,Light and high-tech industrial area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,light_industrial_ind2_var2,Light industrial area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,low_intensity_residential_var2,Low intensity residential area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,marine_ports_var2,Marine port area/count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,med_intensity_residential_var2,Medium intensity residential area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,medical_office_clinic_com7_var2,Medical office/clinic count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,metals_and_minerals_industrial_ind4_var2,Metals and minerals industrial area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,military_airports_var2,Military airport count/area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,mines_var2,Mine locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,navigable_waterway_activity_var2,Navigable waterway activity (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,navigable_waterway_miles_var2,Navigable waterway miles (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,ntad_amtrak_railroad_density_var2,NTAD Amtrak railroad density (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,ntad_class_1_2_3_railroad_density_var2,NTAD Class 1/2/3 railroad density (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,ntad_commuter_railroad_density_var2,NTAD commuter railroad density (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,ntad_total_railroad_density_var2,NTAD total railroad density (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,off.network_long.haul_trucks_var2,Off-network long-haul truck activity (r=0.340 with PM2.5) (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,off.network_short.haul_trucks_var2,Off-network short-haul truck activity (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,offshore_shipping_area_var2,Offshore shipping area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,offshore_shipping_nei2011_nox_var2,Offshore shipping NOx emissions (NEI 2011) (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,oil_and_gas_wells_var2,Oil and gas well count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,oil_production_at_all_wells_var2,Oil production at all wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,oil_production_at_gas_wells_var2,Oil production at gas wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,oil_production_at_oil_wells_var2,Oil production at oil wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,open_space_var2,Open space area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,orchards_vineyards_var2,Orchard and vineyard area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,pasture_land_var2,Pasture land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,personal_repair_com3_var2,Personal repair services (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,port_areas_var2,Port area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,ports_nei2011_nox_var2,Port NOx emissions (NEI 2011) (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,professional_technical_com4_plus_general_government_gov1_var2,Professional/technical/government area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,quarries_var2,Quarry locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,refineries_and_tank_farms_and_gas_stations_var2,Refineries/tank farms/gas stations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,refineries_and_tank_farms_var2,Refinery and tank farm locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,residential_heating_coal_var2,Residential coal heating (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,residential_heating_distillate_oil_var2,Residential distillate oil heating (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,residential_heating_lp_gas_var2,Residential LP gas heating (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,residential_heating_natural_gas_var2,Residential natural gas heating (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,residential_heating_wood_var2,Residential wood heating (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,residential_high_density_var2,High density residential area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,residential.commercial.industrial.institutional.government_var2,Combined developed land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,retail_trade_com1_plus_personal_repair_com3_var2,Retail trade plus personal repair (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,retail_trade_com1_var2,Retail trade area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,rural_housing_var2,Rural housing units (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,rural_land_area_var2,Rural land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,rural_population_var2,Rural population count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,rural_primary_road_miles_var2,Rural primary road miles (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,rural_secondary_road_miles_var2,Rural secondary road miles (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,shipping_lanes_var2,Shipping lane area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,single_family_residential_var2,Single family residential area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,spud_count_var2,Well spud count (new wells drilled) (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,strip_mines_quarries_var2,Strip mine and quarry area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,suburban_housing_var2,Suburban housing units (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,total_agriculture_without_orchards_vineyards_var2,Total agriculture minus orchards/vineyards (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,total_agriculture_var2,Total agricultural land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,total_railroad_miles_var2,Total railroad miles (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,total_road_miles_var2,Total road miles (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,transit_bus_terminals_var2,Transit bus terminal count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,urban_housing_var2,Urban housing units (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,urban_population_var2,Urban population count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,urban_primary_plus_rural_primary_var2,Urban plus rural primary road miles (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,urban_primary_road_miles_var2,Urban primary road miles (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,urban_secondary_road_miles_var2,Urban secondary road miles (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,wastewater_treatment_facilities_var2,Wastewater treatment facility count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,well_count_all_wells_var2,Total well count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,well_count_cbm_wells_var2,Coalbed methane well count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,well_count_gas_wells_var2,Gas well count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,well_count_oil_wells_var2,Oil well count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
